"Year","Pupil-teacher ratio in primary education (headcount basis)","Primary completion rate, both sexes (%)","Pupil-teacher ratio in pre-primary education (headcount basis)","Pupil-teacher ratio in secondary education (headcount basis)","Lower secondary completion rate, both sexes (%)","Pupil-teacher ratio in tertiary education (headcount basis)","Pupil-teacher ratio in lower secondary education (headcount basis)","Expenditure on tertiary as % of government expenditure on education (%)","Pupil-teacher ratio in upper secondary education (headcount basis)","Under-age enrolment ratio in primary education, both sexes (%)","Expenditure on primary as % of government expenditure on education (%)","Expenditure on secondary as % of government expenditure on education (%)","Under-age enrolment ratio in secondary education, both sexes (%)","Percentage of students in tertiary education enrolled in Social Sciences, Business and Law programmes, both sexes (%)","Expenditure on pre-primary as % of government expenditure on education (%)","Percentage of students in tertiary education enrolled in Health and Welfare programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Education programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Humanities and Arts programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Science programmes, both sexes (%)","Expenditure on upper secondary as % of government expenditure on education (%)","Expenditure on lower secondary as % of government expenditure on education (%)","Expenditure on education not allocated by level as % of government expenditure on education (%)","Over-age enrolment ratio in primary education, both sexes (%)","Expenditure on post-secondary non-tertiary as % of government expenditure on education (%)","Expenditure on secondary and post-secondary non-tertiary vocational as % of government expenditure on education (%)"
"2000","-0.890267742861309 (5.01687341512898e-39) ","0.86675478714297 (1.12925512966216e-31) ","-0.411170595149003 (5.15070472087154e-05) ","-0.702419286279645 (6.06042908232821e-15) ","0.861155412406359 (2.30394452382073e-21) ","-0.120372170010248 (0.281388688812725) ","-0.735894841493384 (5.87283092384677e-13) ","0.18737258735058 (0.15900307566569) ","-0.602294460828092 (6.96854369411116e-08) ","-0.0516512238565759 (0.651218119702079) ","-0.711532891067182 (1.13611571774566e-09) ","0.64016791594553 (2.44802595344986e-07) ","0.227170163843994 (0.0757936163270524) ","0.178960252473045 (0.262912186892681) ","0.438645239914507 (0.00128293524513597) ","0.358313332484058 (0.0214288707844037) ","-0.465017975436905 (0.00218891669586049) ","0.144969760149097 (0.365813615215266) ","0.279840385948979 (0.0763890113174334) ","0.423896678955376 (0.00574686872378503) ","0.580274674596024 (0.000207472751709655) ","0.346197914966814 (0.0416265270998981) ","-0.312608303641073 (0.112380928286906) ","0","-0.363768324420013 (0.0481467599778137) ","0"
"2001","-0.862016035456579 (3.9084845468381e-35) ","0.798614977665808 (8.79831474918785e-24) ","-0.459576287782949 (2.80020646179243e-06) ","-0.743165082922207 (7.48433355290029e-17) ","0.878136927863979 (9.37682512560008e-25) ","-0.186937785979982 (0.101251572481014) ","-0.746781263552083 (5.0198021981151e-14) ","0.339834679973023 (0.00600740420235704) ","-0.594132286016129 (2.2730490652737e-07) ","-0.0932358922942651 (0.419943791324905) ","-0.725045672006233 (1.22668851812823e-10) ","0.582615920795703 (3.79911095463553e-06) ","0.212626635675076 (0.0817145416572822) ","-0.059381751760728 (0.69505150715139) ","0.386913333903233 (0.00322166323763663) ","0.574458799540564 (3.68262935935343e-05) ","-0.265911196060119 (0.0774747338647643) ","-0.0452981011258421 (0.764997203600443) ","0.325845505426372 (0.0271141015226358) ","-0.129694712130302 (0.39030688591253) ","0.641157446645211 (8.29550488230765e-06) ","0.157388975667659 (0.338619451022481) ","-0.5049533056675 (0.00232109664754892) ","0","-0.29276599619055 (0.0982456685183315) ","0"
"2002","-0.878756660812733 (3.97479515438391e-37) ","0.786942760268527 (2.49616958014001e-23) ","-0.497541863645182 (3.89921013338259e-07) ","-0.735331924261811 (5.0570939019773e-16) ","0.889689370983984 (5.73755333865683e-29) ","-0.185417629820123 (0.0953659412575145) ","-0.712769758303367 (3.11751960366962e-12) ","0.400991535818983 (0.000581492806480011) ","-0.499045753232186 (1.71919470685375e-05) ","-0.0746274578985301 (0.497270069965443) ","-0.728221004133543 (1.34798015406961e-11) ","0.395720567154886 (0.00175056233140932) ","0.145453042426264 (0.229581652193761) ","-0.236359280995215 (0.113775372338588) ","0.262363239305559 (0.0393940001864699) ","0.443143218984051 (0.00204049424040099) ","-0.295436393026572 (0.0488034698871085) ","0.0197040434161587 (0.897775782811654) ","0.248676130254213 (0.0995132643942404) ","0.212036457177828 (0.157165914487624) ","0.597069798025426 (2.37429222634481e-05) ","-0.0871553903927286 (0.587927869452157) ","-0.282018701971321 (0.0740323062203128) ","0","-0.233067259406922 (0.159069336003588) ","0"
"2003","-0.865508245344172 (4.08887113712702e-35) ","0.777494474768132 (1.17067618727702e-21) ","-0.455361440167849 (3.1385131261699e-06) ","-0.751493653658658 (2.17157975531431e-17) ","0.881343285981776 (8.97011664957719e-28) ","-0.193693284385665 (0.0914348790596951) ","-0.790979218064297 (5.10782548703154e-17) ","0.507695609992564 (4.74447734603471e-05) ","-0.511318633512564 (5.19469460956423e-06) ","-0.0980546346163556 (0.374884725722205) ","-0.787893828530797 (2.15792662088943e-13) ","0.538163338101509 (2.25796157620368e-05) ","0.047130673933763 (0.716039365386444) ","-0.282175081814115 (0.0387104565979082) ","0.207681198486847 (0.139577410995377) ","0.514023633575477 (8.25351584826043e-05) ","-0.138009965819167 (0.324380569494263) ","-0.10302162816547 (0.45850369835581) ","0.0912467509917026 (0.524249918043811) ","0.135002916834491 (0.330395827560612) ","0.444856515318727 (0.00454607355475218) ","0.136237721763393 (0.421386775252487) ","-0.258215220881114 (0.146814593897879) ","0","-0.149753843686204 (0.413323028379671) ","0"
"2004","-0.88041922583135 (8.74705176565166e-37) ","0.795816340116538 (1.29428917611315e-24) ","-0.55098473542686 (4.98104142818951e-09) ","-0.738043154961635 (1.56491138043537e-16) ","0.879896142596575 (3.32611556335589e-29) ","-0.247292178133415 (0.0290514495763039) ","-0.81191131091731 (8.70085091460178e-18) ","0.337393140211407 (0.00252130359684063) ","-0.581458706747399 (1.99776871248556e-07) ","-0.0537751087683895 (0.6208229984642) ","-0.691952946134364 (8.90454699962016e-11) ","0.416868858373481 (0.000497864291364003) ","-0.00867546453854222 (0.942757448417078) ","-0.157296553966429 (0.238312507521422) ","0.190749853339122 (0.127997120117123) ","0.539819060369824 (1.75806671329283e-05) ","-0.023197688622873 (0.865243684456484) ","-0.0682515175948592 (0.610705114020884) ","0.240056849908281 (0.0720759441627195) ","-0.205679114859901 (0.124807667802062) ","0.400559074153012 (0.0058066984326857) ","-0.0600156187226657 (0.702241135819411) ","-0.0436573280957108 (0.794666451848167) ","0","-0.375355054827066 (0.0185402451441004) ","0"
"2005","-0.876640863580963 (1.06586829875562e-37) ","0.795754504470269 (2.87578292682551e-25) ","-0.629905646601118 (1.31544435260924e-12) ","-0.769002091513672 (3.50443809957054e-19) ","0.885434128773079 (1.04911295586279e-32) ","-0.208091205512942 (0.0772885963560013) ","-0.813720073228674 (1.11567325753469e-17) ","0.264739862005417 (0.026775870038991) ","-0.545985200140906 (1.22058390626934e-06) ","-0.0949026671681188 (0.360286962429114) ","-0.666344505528976 (4.59012078894169e-09) ","0.356736722842752 (0.00514458135523652) ","0.00989312495021656 (0.933329119178824) ","-0.118333740149368 (0.380653333986771) ","0.249844387192696 (0.0658223894051781) ","0.579149072656656 (2.92142163971005e-06) ","-0.146178541651426 (0.282367936233588) ","-0.0758920222829298 (0.574737250694417) ","0.238657921257492 (0.0764999157418677) ","-0.200067099340697 (0.139303358666957) ","0.20095046976121 (0.207735551545979) ","-0.00802919511258644 (0.960782578622169) ","-0.22054637833721 (0.210061714359804) ","0","-0.251675176193937 (0.157691593241239) ","0"
"2006","-0.87973133384357 (1.24054924095626e-37) ","0.776209857305549 (2.33111878413423e-22) ","-0.595817246595784 (6.1805075484287e-11) ","-0.806752710749229 (1.38879820398109e-21) ","0.887876156582957 (9.30638746148585e-32) ","-0.338897393969171 (0.00293761706947476) ","-0.784003664547775 (1.01063549034547e-15) ","0.372026375408594 (0.00119151368802616) ","-0.586396044348655 (1.84666528032328e-07) ","-0.0221950429422708 (0.831845029282468) ","-0.69516956017036 (2.5887700857695e-10) ","0.553576800364275 (3.70225033856418e-06) ","0.0699284732487644 (0.573907192877227) ","-0.315908702717195 (0.016671430200764) ","0.366546749382088 (0.00289179551541768) ","0.374410480703383 (0.00447138409889875) ","0.154947132654432 (0.25866048503991) ","-0.17130206501231 (0.20263099706984) ","0.299109566067533 (0.026530132970137) ","-0.293831336703941 (0.0265239736986785) ","0.405648637651211 (0.00629801041029304) ","0.171663997791138 (0.283188315210575) ","-0.0697985836221047 (0.668673379156771) ","0","-0.264595243847609 (0.118881768295452) ","0"
"2007","-0.868855819954643 (9.4127158263255e-39) ","0.790844352156181 (1.47742511167703e-24) ","-0.599357797222602 (7.22597503643005e-12) ","-0.800510329254664 (7.64900282520233e-23) ","0.839780036405741 (6.11417627351582e-27) ","-0.453283584912148 (6.37593282843927e-05) ","-0.808910331533624 (9.66483176889645e-19) ","0.379241771299611 (0.000861522398468756) ","-0.615291860780798 (1.13245606635044e-08) ","-0.0430526713312839 (0.672204373644644) ","-0.694102536453156 (7.36927923289965e-11) ","0.558106704596213 (1.12249165251524e-06) ","0.097452441452065 (0.4256770854044) ","-0.307018669889954 (0.0180187515160822) ","0.286176730341898 (0.0218788212326226) ","0.247889774575296 (0.0583578355792697) ","0.121487226969419 (0.36364083745443) ","-0.113803969781723 (0.39076290487504) ","0.272651318175199 (0.0383907190368895) ","-0.122567648338859 (0.359357644403593) ","0.695246619582245 (2.96607438710808e-08) ","0.31822201462134 (0.0275073435942889) ","-0.066297017956656 (0.676570955427154) ","0","-0.118712471036576 (0.465645999282036) ","0"
"2008","-0.842550858264237 (2.61510657609095e-34) ","0.807423122430922 (4.0482216639838e-28) ","-0.65076106378371 (1.00107043229948e-13) ","-0.8198404612096 (4.8012313941346e-22) ","0.870040434413124 (4.21043557471982e-33) ","-0.385100192677524 (0.000703952768193058) ","-0.796360712000872 (1.04054842441975e-18) ","0.317385566486194 (0.00345940257979355) ","-0.615522610376172 (6.82798342017777e-09) ","-0.0626380514751858 (0.535841419077704) ","-0.715976438162767 (3.60339307292348e-13) ","0.484276126388745 (8.10033584403033e-06) ","0.0106236926043525 (0.930959845390972) ","-0.324786148716863 (0.00647254882263046) ","0.457322809422949 (6.08654321092196e-05) ","0.39386284169667 (0.000812959338369743) ","-0.19642201627073 (0.108408078386686) ","0.146225309488503 (0.230564743986246) ","0.379566119364314 (0.00153560744705966) ","-0.136644783852281 (0.266511318305887) ","0.558755888545555 (1.66980254317667e-05) ","0.0666000596492155 (0.645851406724009) ","-0.201227110407913 (0.165607807831771) ","0","-0.0936418367753551 (0.545445676281238) ","0"
"2009","-0.847418085505838 (5.83973245366302e-34) ","0.801386342954928 (3.33228458684489e-27) ","-0.634404529396079 (6.64451635749008e-12) ","-0.762294825252818 (1.5196319091785e-17) ","0.8158839116759 (5.70384566160803e-27) ","-0.414379264242872 (0.00010871714438877) ","-0.800976018668935 (7.86245944401365e-19) ","0.259576188888716 (0.0134871651502442) ","-0.661718159914018 (1.02326089066617e-10) ","-0.0944957915419375 (0.344804526441406) ","-0.718929402466021 (5.91209607783221e-14) ","0.343802729168917 (0.00167502900685878) ","0.0212790007140715 (0.851385503734474) ","-0.18467858711358 (0.134624073930383) ","0.460976319961307 (3.15450665250743e-05) ","0.328506306061091 (0.00708151009467082) ","-0.155789462799634 (0.215261562171697) ","-0.153416346358345 (0.215164932923782) ","0.309910381491505 (0.0113317121146002) ","-0.203482001512082 (0.10400257968198) ","0.53358026826257 (1.13380567090735e-05) ","-0.00232604990049663 (0.986050126319503) ","-0.0419005363337721 (0.794777828424459) ","0","-0.026005239069239 (0.866928259083549) ","0"
"2010","-0.865272347128702 (2.77778850553966e-36) ","0.8079565912031 (1.73725959597742e-27) ","-0.71469641577168 (4.72991567289587e-17) ","-0.849291875099213 (1.67718604357326e-22) ","0.859960026480404 (7.41240330684187e-32) ","-0.288148106457088 (0.00825098934673477) ","-0.86491708786493 (3.00742178995936e-23) ","0.219698255400662 (0.031496138871462) ","-0.67170337512662 (9.0675003467292e-10) ","-0.168705979177537 (0.102193478687265) ","-0.69154609081279 (1.21197283519818e-13) ","0.356050366147791 (0.00066264298268276) ","0.00768240561172462 (0.946077739935465) ","-0.322858342183804 (0.00502223206384463) ","0.496232360023917 (5.14773179503197e-06) ","0.283366192818856 (0.0144258970676868) ","-0.146854581576025 (0.215047762414316) ","-0.0254096674175165 (0.831024642649565) ","0.477429206090886 (2.22969314617762e-05) ","0.0309118549946703 (0.795161126303733) ","0.411610357569571 (0.000727222915295103) ","0.18702991609351 (0.138915260411574) ","-0.0652181382759671 (0.652726761190558) ","-0.497150900800714 (0.143757568505605) ","-0.11643396735684 (0.435748268741787) ","0"
"2011","-0.863110512124584 (1.05247133042383e-37) ","0.771947012362173 (3.51190427493884e-23) ","-0.744473890499023 (1.55280493313598e-18) ","-0.814006402657627 (1.03535086631408e-22) ","0.859125696826227 (2.55390083960869e-32) ","-0.383749021417319 (0.000223571621799581) ","-0.805392008750589 (1.77376935181307e-18) ","0.253993356625849 (0.0120584523114406) ","-0.649149656215852 (3.95774579343506e-10) ","-0.123397082946219 (0.228522462728664) ","-0.660040435594119 (1.48207414610281e-12) ","0.315099942340835 (0.00234850693558555) ","-0.0980312082294351 (0.386981556373104) ","-0.384947367038122 (0.000422222676058141) ","0.493957850462906 (3.72526990430942e-06) ","0.418936083609005 (0.000134875546221621) ","-0.164595546429822 (0.149855848568518) ","-0.111764364004492 (0.333182532798663) ","0.444238718869808 (5.18286877991277e-05) ","-0.0514260907176013 (0.652640113505575) ","0.490346174133341 (2.92315171630459e-05) ","0.0538549778979979 (0.675066164650004) ","-0.0751260318025765 (0.604096280865219) ","-0.355853761364073 (0.256266858837074) ","-0.00911644236626853 (0.950963481750299) ","0"
"2012","-0.859855599847021 (1.15944468695705e-35) ","0.78062476307402 (2.11889007830588e-24) ","-0.702542758597534 (4.2233942957074e-15) ","-0.802935906220877 (5.58796599887582e-19) ","0.853832999302441 (5.71409268777304e-31) ","-0.508139140767449 (5.05463921808947e-07) ","-0.785289955511479 (7.41673202530937e-17) ","0.211297339754722 (0.0481347853907985) ","-0.713737689850767 (4.0630513379127e-12) ","-0.231148697602227 (0.0242120226784824) ","-0.696864835252418 (2.53987982952183e-13) ","0.37532382125846 (0.000555325025807434) ","0.0116653657616113 (0.92033301894959) ","-0.320063672481654 (0.0033751130224527) ","0.43264185509571 (0.000621133049529273) ","0.392905048968766 (0.000285348025169091) ","-0.0493136304683329 (0.66197314444138) ","0.0753738492413032 (0.503640146929942) ","0.284084384520818 (0.0106558473049921) ","-0.218518747842875 (0.0500125935143267) ","0.543350126177112 (3.14985732348908e-05) ","0.0677970043740898 (0.622850903611863) ","-0.168579692935186 (0.340561177386749) ","-0.223709807997992 (0.343061479389393) ","0.135258200590987 (0.418132431020528) ","0.394800907455923 (0.0690072491452748) "
"2013","-0.868368465217746 (1.61994185940421e-36) ","0.759912215333049 (1.69846852800529e-22) ","-0.680658982249536 (2.16751117573437e-13) ","-0.716857045620822 (2.50651813451171e-14) ","0.855358914675273 (4.75106253276362e-32) ","-0.454464852061888 (1.79536172982895e-05) ","-0.69917632278068 (5.46859453769513e-13) ","0.158889443776274 (0.124061118219457) ","-0.508593676217556 (3.1813802666184e-06) ","-0.194755369532038 (0.0740806469585092) ","-0.69345540414873 (6.97802009528901e-14) ","0.390036864235007 (0.000172320186775906) ","-0.195213351361987 (0.0888711174813026) ","-0.437996941697372 (5.4164001304952e-05) ","0.581416954794559 (5.39371341591277e-05) ","0.508427184198552 (2.01091736321727e-06) ","-0.287128125649312 (0.0102985203458563) ","0.116189428365338 (0.307864955472763) ","0.301708304024657 (0.00726471431240572) ","0.065496387665518 (0.571437140350374) ","0.466025089860774 (0.00213454914198249) ","0.109919995047388 (0.482875872647807) ","0.313778853650256 (0.0974005016015014) ","-0.456814562421231 (0.000148040267922812) ","0.142564568875078 (0.496622043949463) ","0.237231926061041 (0.243246922819604) "
"2014","-0.845244492879542 (2.93137362552812e-32) ","0.713037587116245 (2.3622997739296e-18) ","-0.628246421331246 (5.66193103127803e-11) ","-0.699348290048747 (3.48820506635882e-14) ","0.829639388988811 (2.45852073541825e-28) ","-0.466164208593647 (1.31285414219975e-05) ","-0.668906871744896 (1.61097121231637e-11) ","0.22273039945762 (0.067904928179355) ","-0.476772564312372 (1.75187507493438e-05) ","-0.116730090357244 (0.305603937171074) ","-0.761188054174136 (7.64259533068941e-14) ","0.403972960041065 (0.000634698934077943) ","-0.103481762529981 (0.393940347659474) ","-0.155794168958103 (0.201142590940783) ","0.443676695200633 (0.0651350090564494) ","0.392988427659518 (0.000916289104721357) ","-0.382604738868159 (0.00128186107778696) ","0.0935738034033198 (0.447857930063071) ","0.274339102965113 (0.0225391372169721) ","0.104667104833562 (0.395635511071097) ","0.312833067320488 (0.206240309456855) ","0.312065357545817 (0.207415549963765) ","0.26179761140285 (0.32734738300063) ","-0.339407128171335 (0.00696057430341288) ","0.402463265623911 (0.153677225117521) ","-0.219648260816705 (0.413712665101971) "
"2015","-0.849495838784193 (3.63030856687091e-26) ","0.727477956288 (6.86422799953803e-17) ","-0.658533231408116 (3.1544775629592e-11) ","-0.719054673552053 (3.71145959348167e-13) ","0.817238551644161 (2.9328529566407e-23) ","-0.555022751297766 (4.18027818459746e-06) ","-0.721921334826198 (5.19043343683295e-11) ","0.0643625702909336 (0.730856636398768) ","-0.530608568143988 (1.54015662322225e-05) ","0","-0.766732336990825 (3.10045908560504e-07) ","0.403012133168459 (0.02457851851617) ","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"averaged_columns","-0.875916193432362 (3.37365314224246e-52) ","0.802833153569482 (3.45238016180693e-36) ","-0.628442186323239 (1.59788704563823e-18) ","-0.744830932544976 (1.12481680569468e-28) ","0.861541754234128 (6.74215391887222e-47) ","-0.312908103673148 (8.67400036005408e-05) ","-0.776180878638378 (4.91150199929874e-30) ","0.174482134550602 (0.0321355835572529) ","-0.609298368669456 (5.3387657668212e-16) ","-0.0730576076361556 (0.394455657449293) ","-0.617601176041667 (1.65237652123948e-16) ","0.348511560542875 (1.86321191828603e-05) ","0.0581250630250604 (0.498293732517964) ","-0.17740329602223 (0.0418514847102831) ","0.425901273953626 (9.05186705102366e-07) ","0.285052768627132 (0.00105935115225006) ","-0.139614620642247 (0.11313760316142) ","-0.0674730462545422 (0.443833385825095) ","0.310044075650815 (0.000330953893506932) ","-0.0685828694032204 (0.436356418704808) ","0.439839363042206 (2.13485157038798e-06) ","0.132146537659295 (0.185509505889408) ","-0.0151503746158212 (0.874597650489425) ","-0.380373332104709 (4.9279296534354e-06) ","0.00879166120465485 (0.932250602530988) ","0.325351054037904 (0.0379229745111216) "
